SN:3K430000011034 BD:Jun 13 2018 VC:1b25605 MD5:6b0db77fe57db46f4053c6adab9edcba
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  06/13/2022 09:26:18.751,     2.43685e+0,     0.00000e+0,     1.34998e+4,     0.00000e+0,     4.48940e+2,     0.00000e+0,     1.23510e+0,     0.00000e+0,     2.27542e+2,     0.00000e+0,     1.40318e+2,     0.00000e+0,     2.12361e+1,     0.00000e+0,     2.09019e+1,     0.00000e+0,     1.13043e+1,     0.00000e+0,     8.32749e+0,     0.00000e+0,     6.88891e-1,     0.00000e+0,    -7.62377e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:19.747,     2.39006e+0,     0.00000e+0,     1.40455e+4,     0.00000e+0,     4.39740e+2,     0.00000e+0,     2.42411e+0,     0.00000e+0,     4.46004e+2,     0.00000e+0,     1.40372e+2,     0.00000e+0,     2.12372e+1,     0.00000e+0,     2.09035e+1,     0.00000e+0,     1.13049e+1,     0.00000e+0,     8.32899e+0,     0.00000e+0,     6.88782e-1,     0.00000e+0,    -7.62354e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:20.741,     2.36775e+0,     0.00000e+0,     1.41321e+4,     0.00000e+0,     4.35428e+2,     0.00000e+0,     2.40169e+0,     0.00000e+0,     4.41670e+2,     0.00000e+0,     1.40402e+2,     0.00000e+0,     2.12388e+1,     0.00000e+0,     2.09098e+1,     0.00000e+0,     1.13084e+1,     0.00000e+0,     8.32801e+0,     0.00000e+0,     6.88597e-1,     0.00000e+0,    -7.62317e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:21.736,     2.34961e+0,     0.00000e+0,     1.42722e+4,     0.00000e+0,     4.32288e+2,     0.00000e+0,     2.38363e+0,     0.00000e+0,     4.38547e+2,     0.00000e+0,     1.40378e+2,     0.00000e+0,     2.12401e+1,     0.00000e+0,     2.09191e+1,     0.00000e+0,     1.13091e+1,     0.00000e+0,     8.32787e+0,     0.00000e+0,     6.88597e-1,     0.00000e+0,    -7.62317e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:22.729,     2.33542e+0,     0.00000e+0,     1.44019e+4,     0.00000e+0,     4.29633e+2,     0.00000e+0,     2.36955e+0,     0.00000e+0,     4.35911e+2,     0.00000e+0,     1.40305e+2,     0.00000e+0,     2.12413e+1,     0.00000e+0,     2.09282e+1,     0.00000e+0,     1.13092e+1,     0.00000e+0,     8.32842e+0,     0.00000e+0,     6.88402e-1,     0.00000e+0,    -7.62288e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:23.724,     2.32045e+0,     0.00000e+0,     1.44565e+4,     0.00000e+0,     4.27115e+2,     0.00000e+0,     2.35449e+0,     0.00000e+0,     4.33380e+2,     0.00000e+0,     1.40340e+2,     0.00000e+0,     2.12422e+1,     0.00000e+0,     2.09303e+1,     0.00000e+0,     1.13112e+1,     0.00000e+0,     8.32855e+0,     0.00000e+0,     6.88402e-1,     0.00000e+0,    -7.62288e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:24.719,     2.30848e+0,     0.00000e+0,     1.44948e+4,     0.00000e+0,     4.25294e+2,     0.00000e+0,     2.34243e+0,     0.00000e+0,     4.31549e+2,     0.00000e+0,     1.40365e+2,     0.00000e+0,     2.12427e+1,     0.00000e+0,     2.09329e+1,     0.00000e+0,     1.13120e+1,     0.00000e+0,     8.32909e+0,     0.00000e+0,     6.88241e-1,     0.00000e+0,    -7.62263e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:25.713,     2.29649e+0,     0.00000e+0,     1.45078e+4,     0.00000e+0,     4.23823e+2,     0.00000e+0,     2.33029e+0,     0.00000e+0,     4.30062e+2,     0.00000e+0,     1.40399e+2,     0.00000e+0,     2.12434e+1,     0.00000e+0,     2.09354e+1,     0.00000e+0,     1.13119e+1,     0.00000e+0,     8.32736e+0,     0.00000e+0,     6.88241e-1,     0.00000e+0,    -7.62263e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:26.707,     2.28655e+0,     0.00000e+0,     1.45589e+4,     0.00000e+0,     4.22550e+2,     0.00000e+0,     2.32033e+0,     0.00000e+0,     4.28793e+2,     0.00000e+0,     1.40404e+2,     0.00000e+0,     2.12446e+1,     0.00000e+0,     2.09450e+1,     0.00000e+0,     1.13144e+1,     0.00000e+0,     8.32913e+0,     0.00000e+0,     6.88081e-1,     0.00000e+0,    -7.62244e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/13/2022 09:26:27.703,     2.27936e+0,     0.00000e+0,     1.46451e+4,     0.00000e+0,     4.21869e+2,     0.00000e+0,     2.31324e+0,     0.00000e+0,     4.28139e+2,     0.00000e+0,     1.40347e+2,     0.00000e+0,     2.12455e+1,     0.00000e+0,     2.09529e+1,     0.00000e+0,     1.13122e+1,     0.00000e+0,     8.32924e+0,     0.00000e+0,     6.88081e-1,     0.00000e+0,    -7.62244e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
