SN:3K430000011034 BD:Jun 13 2018 VC:1b25605 MD5:6b0db77fe57db46f4053c6adab9edcba
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  06/28/2022 11:36:02.681,     2.65075e+0,     0.00000e+0,     2.96487e+4,     0.00000e+0,     4.17934e+2,     0.00000e+0,     2.73174e+0,     0.00000e+0,     4.30704e+2,     0.00000e+0,     1.40319e+2,     0.00000e+0,     3.14277e+1,     0.00000e+0,     3.14921e+1,     0.00000e+0,     1.12915e+1,     0.00000e+0,     8.31945e+0,     0.00000e+0,     6.90302e-1,     0.00000e+0,    -7.62171e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:03.674,     2.67817e+0,     0.00000e+0,     3.10630e+4,     0.00000e+0,     4.12376e+2,     0.00000e+0,     2.76403e+0,     0.00000e+0,     4.25597e+2,     0.00000e+0,     1.40332e+2,     0.00000e+0,     3.14277e+1,     0.00000e+0,     3.14903e+1,     0.00000e+0,     1.12926e+1,     0.00000e+0,     8.31797e+0,     0.00000e+0,     6.91608e-1,     0.00000e+0,    -7.61942e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:04.669,     2.71826e+0,     0.00000e+0,     3.11198e+4,     0.00000e+0,     4.08109e+2,     0.00000e+0,     2.80556e+0,     0.00000e+0,     4.21217e+2,     0.00000e+0,     1.40340e+2,     0.00000e+0,     3.14282e+1,     0.00000e+0,     3.14898e+1,     0.00000e+0,     1.12942e+1,     0.00000e+0,     8.31632e+0,     0.00000e+0,     6.92795e-1,     0.00000e+0,    -7.61942e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:05.663,     2.75150e+0,     0.00000e+0,     3.10894e+4,     0.00000e+0,     4.05369e+2,     0.00000e+0,     2.83979e+0,     0.00000e+0,     4.18376e+2,     0.00000e+0,     1.40342e+2,     0.00000e+0,     3.14280e+1,     0.00000e+0,     3.14892e+1,     0.00000e+0,     1.12968e+1,     0.00000e+0,     8.31726e+0,     0.00000e+0,     6.92795e-1,     0.00000e+0,    -7.61789e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:06.659,     2.77822e+0,     0.00000e+0,     3.10936e+4,     0.00000e+0,     4.04190e+2,     0.00000e+0,     2.86737e+0,     0.00000e+0,     4.17161e+2,     0.00000e+0,     1.40374e+2,     0.00000e+0,     3.14287e+1,     0.00000e+0,     3.14883e+1,     0.00000e+0,     1.12958e+1,     0.00000e+0,     8.31820e+0,     0.00000e+0,     6.93707e-1,     0.00000e+0,    -7.61789e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:07.653,     2.79956e+0,     0.00000e+0,     3.11174e+4,     0.00000e+0,     4.01531e+2,     0.00000e+0,     2.88947e+0,     0.00000e+0,     4.14427e+2,     0.00000e+0,     1.40394e+2,     0.00000e+0,     3.14282e+1,     0.00000e+0,     3.14845e+1,     0.00000e+0,     1.12982e+1,     0.00000e+0,     8.31804e+0,     0.00000e+0,     6.93707e-1,     0.00000e+0,    -7.61664e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:08.654,     2.81701e+0,     0.00000e+0,     3.11496e+4,     0.00000e+0,     4.00907e+2,     0.00000e+0,     2.90758e+0,     0.00000e+0,     4.13797e+2,     0.00000e+0,     1.40393e+2,     0.00000e+0,     3.14274e+1,     0.00000e+0,     3.14828e+1,     0.00000e+0,     1.12978e+1,     0.00000e+0,     8.31741e+0,     0.00000e+0,     6.94518e-1,     0.00000e+0,    -7.61542e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:09.648,     2.83204e+0,     0.00000e+0,     3.11263e+4,     0.00000e+0,     3.98751e+2,     0.00000e+0,     2.92302e+0,     0.00000e+0,     4.11562e+2,     0.00000e+0,     1.40398e+2,     0.00000e+0,     3.14279e+1,     0.00000e+0,     3.14846e+1,     0.00000e+0,     1.12987e+1,     0.00000e+0,     8.31952e+0,     0.00000e+0,     6.94518e-1,     0.00000e+0,    -7.61542e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:10.644,     2.84173e+0,     0.00000e+0,     3.11357e+4,     0.00000e+0,     3.98130e+2,     0.00000e+0,     2.93305e+0,     0.00000e+0,     4.10925e+2,     0.00000e+0,     1.40401e+2,     0.00000e+0,     3.14275e+1,     0.00000e+0,     3.14828e+1,     0.00000e+0,     1.13006e+1,     0.00000e+0,     8.31850e+0,     0.00000e+0,     6.95225e-1,     0.00000e+0,    -7.61467e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  06/28/2022 11:36:11.637,     2.85121e+0,     0.00000e+0,     3.11455e+4,     0.00000e+0,     3.97554e+2,     0.00000e+0,     2.94287e+0,     0.00000e+0,     4.10334e+2,     0.00000e+0,     1.40350e+2,     0.00000e+0,     3.14278e+1,     0.00000e+0,     3.14844e+1,     0.00000e+0,     1.13000e+1,     0.00000e+0,     8.31946e+0,     0.00000e+0,     6.95225e-1,     0.00000e+0,    -7.61467e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
