SN:3K430000011034 BD:Jun 13 2018 VC:1b25605 MD5:6b0db77fe57db46f4053c6adab9edcba
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  07/21/2022 08:46:35.163,     2.76388e+0,     0.00000e+0,     2.99213e+4,     0.00000e+0,     4.18715e+2,     0.00000e+0,     1.42457e+0,     0.00000e+0,     2.15815e+2,     0.00000e+0,     1.40324e+2,     0.00000e+0,     2.54770e+1,     0.00000e+0,     2.75024e+1,     0.00000e+0,     1.12930e+1,     0.00000e+0,     8.32100e+0,     0.00000e+0,     6.89386e-1,     0.00000e+0,    -7.62303e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:36.158,     2.90308e+0,     0.00000e+0,     3.15039e+4,     0.00000e+0,     4.14347e+2,     0.00000e+0,     2.99752e+0,     0.00000e+0,     4.27825e+2,     0.00000e+0,     1.40332e+2,     0.00000e+0,     2.54801e+1,     0.00000e+0,     2.75037e+1,     0.00000e+0,     1.12919e+1,     0.00000e+0,     8.32198e+0,     0.00000e+0,     6.89771e-1,     0.00000e+0,    -7.62205e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:37.152,     2.98787e+0,     0.00000e+0,     3.15843e+4,     0.00000e+0,     4.11369e+2,     0.00000e+0,     3.08532e+0,     0.00000e+0,     4.24786e+2,     0.00000e+0,     1.40311e+2,     0.00000e+0,     2.54825e+1,     0.00000e+0,     2.75061e+1,     0.00000e+0,     1.12952e+1,     0.00000e+0,     8.32077e+0,     0.00000e+0,     6.90458e-1,     0.00000e+0,    -7.62045e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:38.148,     3.05911e+0,     0.00000e+0,     3.16815e+4,     0.00000e+0,     4.11212e+2,     0.00000e+0,     3.15919e+0,     0.00000e+0,     4.24666e+2,     0.00000e+0,     1.40353e+2,     0.00000e+0,     2.54850e+1,     0.00000e+0,     2.75063e+1,     0.00000e+0,     1.12955e+1,     0.00000e+0,     8.31981e+0,     0.00000e+0,     6.90458e-1,     0.00000e+0,    -7.62045e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:39.141,     3.11580e+0,     0.00000e+0,     3.17308e+4,     0.00000e+0,     4.09290e+2,     0.00000e+0,     3.21791e+0,     0.00000e+0,     4.22703e+2,     0.00000e+0,     1.40349e+2,     0.00000e+0,     2.54878e+1,     0.00000e+0,     2.75101e+1,     0.00000e+0,     1.12954e+1,     0.00000e+0,     8.32132e+0,     0.00000e+0,     6.91075e-1,     0.00000e+0,    -7.61914e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:40.137,     3.15372e+0,     0.00000e+0,     3.17236e+4,     0.00000e+0,     4.09099e+2,     0.00000e+0,     3.25704e+0,     0.00000e+0,     4.22502e+2,     0.00000e+0,     1.40352e+2,     0.00000e+0,     2.54900e+1,     0.00000e+0,     2.75115e+1,     0.00000e+0,     1.12968e+1,     0.00000e+0,     8.31937e+0,     0.00000e+0,     6.91075e-1,     0.00000e+0,    -7.61914e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:41.131,     3.18375e+0,     0.00000e+0,     3.16489e+4,     0.00000e+0,     4.07808e+2,     0.00000e+0,     3.28780e+0,     0.00000e+0,     4.21136e+2,     0.00000e+0,     1.40330e+2,     0.00000e+0,     2.54919e+1,     0.00000e+0,     2.75097e+1,     0.00000e+0,     1.12975e+1,     0.00000e+0,     8.31972e+0,     0.00000e+0,     6.91623e-1,     0.00000e+0,    -7.61804e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:42.126,     3.20908e+0,     0.00000e+0,     3.15766e+4,     0.00000e+0,     4.07522e+2,     0.00000e+0,     3.31371e+0,     0.00000e+0,     4.20810e+2,     0.00000e+0,     1.40380e+2,     0.00000e+0,     2.54940e+1,     0.00000e+0,     2.75093e+1,     0.00000e+0,     1.12973e+1,     0.00000e+0,     8.32168e+0,     0.00000e+0,     6.91623e-1,     0.00000e+0,    -7.61804e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:43.119,     3.23022e+0,     0.00000e+0,     3.15154e+4,     0.00000e+0,     4.06486e+2,     0.00000e+0,     3.33533e+0,     0.00000e+0,     4.19713e+2,     0.00000e+0,     1.40357e+2,     0.00000e+0,     2.54961e+1,     0.00000e+0,     2.75053e+1,     0.00000e+0,     1.12980e+1,     0.00000e+0,     8.32070e+0,     0.00000e+0,     6.92104e-1,     0.00000e+0,    -7.61716e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 08:46:44.114,     3.24587e+0,     0.00000e+0,     3.13921e+4,     0.00000e+0,     4.06698e+2,     0.00000e+0,     3.35107e+0,     0.00000e+0,     4.19879e+2,     0.00000e+0,     1.40346e+2,     0.00000e+0,     2.54981e+1,     0.00000e+0,     2.75104e+1,     0.00000e+0,     1.12968e+1,     0.00000e+0,     8.31996e+0,     0.00000e+0,     6.92104e-1,     0.00000e+0,    -7.61716e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
