SN:3K430000011034 BD:Jun 13 2018 VC:1b25605 MD5:6b0db77fe57db46f4053c6adab9edcba
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  07/21/2022 11:40:27.695,     3.91473e+0,     0.00000e+0,     2.84498e+4,     0.00000e+0,     3.82746e+2,     0.00000e+0,     4.02937e+0,     0.00000e+0,     3.93954e+2,     0.00000e+0,     1.40291e+2,     0.00000e+0,     3.54177e+1,     0.00000e+0,     3.70678e+1,     0.00000e+0,     1.12947e+1,     0.00000e+0,     8.31219e+0,     0.00000e+0,     6.91374e-1,     0.00000e+0,    -7.62039e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:28.690,     3.84839e+0,     0.00000e+0,     2.97444e+4,     0.00000e+0,     3.80255e+2,     0.00000e+0,     3.96636e+0,     0.00000e+0,     3.91912e+2,     0.00000e+0,     1.40315e+2,     0.00000e+0,     3.54188e+1,     0.00000e+0,     3.70658e+1,     0.00000e+0,     1.12934e+1,     0.00000e+0,     8.31177e+0,     0.00000e+0,     6.93751e-1,     0.00000e+0,    -7.61678e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:29.684,     3.81189e+0,     0.00000e+0,     2.97868e+4,     0.00000e+0,     3.77405e+2,     0.00000e+0,     3.92892e+0,     0.00000e+0,     3.88991e+2,     0.00000e+0,     1.40322e+2,     0.00000e+0,     3.54199e+1,     0.00000e+0,     3.70621e+1,     0.00000e+0,     1.12937e+1,     0.00000e+0,     8.31214e+0,     0.00000e+0,     6.93751e-1,     0.00000e+0,    -7.61678e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:30.678,     3.78126e+0,     0.00000e+0,     2.98580e+4,     0.00000e+0,     3.77338e+2,     0.00000e+0,     3.89764e+0,     0.00000e+0,     3.88951e+2,     0.00000e+0,     1.40329e+2,     0.00000e+0,     3.54208e+1,     0.00000e+0,     3.70550e+1,     0.00000e+0,     1.12952e+1,     0.00000e+0,     8.31209e+0,     0.00000e+0,     6.95607e-1,     0.00000e+0,    -7.61440e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:31.674,     3.74763e+0,     0.00000e+0,     2.98868e+4,     0.00000e+0,     3.79740e+2,     0.00000e+0,     3.86309e+0,     0.00000e+0,     3.91439e+2,     0.00000e+0,     1.40353e+2,     0.00000e+0,     3.54220e+1,     0.00000e+0,     3.70516e+1,     0.00000e+0,     1.12952e+1,     0.00000e+0,     8.31422e+0,     0.00000e+0,     6.95607e-1,     0.00000e+0,    -7.61440e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:32.669,     3.69527e+0,     0.00000e+0,     2.99250e+4,     0.00000e+0,     3.78033e+2,     0.00000e+0,     3.80926e+0,     0.00000e+0,     3.89695e+2,     0.00000e+0,     1.40323e+2,     0.00000e+0,     3.54227e+1,     0.00000e+0,     3.70492e+1,     0.00000e+0,     1.12962e+1,     0.00000e+0,     8.31237e+0,     0.00000e+0,     6.97257e-1,     0.00000e+0,    -7.61247e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:33.662,     3.64140e+0,     0.00000e+0,     3.00033e+4,     0.00000e+0,     3.78904e+2,     0.00000e+0,     3.75403e+0,     0.00000e+0,     3.90624e+2,     0.00000e+0,     1.40341e+2,     0.00000e+0,     3.54231e+1,     0.00000e+0,     3.70448e+1,     0.00000e+0,     1.12951e+1,     0.00000e+0,     8.31294e+0,     0.00000e+0,     6.97257e-1,     0.00000e+0,    -7.61247e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:34.657,     3.61182e+0,     0.00000e+0,     3.00125e+4,     0.00000e+0,     3.77650e+2,     0.00000e+0,     3.72357e+0,     0.00000e+0,     3.89335e+2,     0.00000e+0,     1.40312e+2,     0.00000e+0,     3.54248e+1,     0.00000e+0,     3.70447e+1,     0.00000e+0,     1.12943e+1,     0.00000e+0,     8.31217e+0,     0.00000e+0,     6.98723e-1,     0.00000e+0,    -7.61087e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:35.651,     3.59891e+0,     0.00000e+0,     3.00627e+4,     0.00000e+0,     3.78044e+2,     0.00000e+0,     3.71046e+0,     0.00000e+0,     3.89761e+2,     0.00000e+0,     1.40322e+2,     0.00000e+0,     3.54256e+1,     0.00000e+0,     3.70407e+1,     0.00000e+0,     1.12951e+1,     0.00000e+0,     8.31455e+0,     0.00000e+0,     6.98723e-1,     0.00000e+0,    -7.61087e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
  07/21/2022 11:40:36.646,     3.59513e+0,     0.00000e+0,     3.01280e+4,     0.00000e+0,     3.77126e+2,     0.00000e+0,     3.70681e+0,     0.00000e+0,     3.88841e+2,     0.00000e+0,     1.40329e+2,     0.00000e+0,     3.54265e+1,     0.00000e+0,     3.70369e+1,     0.00000e+0,     1.12948e+1,     0.00000e+0,     8.31255e+0,     0.00000e+0,     7.00018e-1,     0.00000e+0,    -7.60955e+0,     0.00000e+0,     2.00000e+1,     0.00000e+0,     2.00000e+1,     0.00000e+0,              2,             -1,       Disabled
